セクション,セクション_ja,項目,項目_ja,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 真香型,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 尊享型,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 旗艦型,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 天枢リーダー型,2026年モデル 知慧チャンピオン版 1.5T 新ブルーホエール 知領型,2026年モデル 知慧チャンピオン版 1.5T 新ブルーホエール 知航型,2026年モデル 第4世代 1.5T 新ブルーホエール 尊享型,2026年モデル 第4世代 1.5T 新ブルーホエール 天枢フラッグシップ型,2026年モデル 第4世代 2.0T 新ブルーホエール 天枢擎雲型,2025年モデル 第4世代 1.5T 新ブルーホエール 知慧卓越型,2025年モデル 第4世代 1.5T 新ブルーホエール 知慧尊享型,2025年モデル 第4世代 1.5T 新ブルーホエール 知慧旗艦型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎風型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎雲型
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主 ● /副,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,● マッサージ（助手席のみ）,"● ヒーター
● ベンチレーション
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）",● ヒーター,"● ヒーター
● ベンチレーション",● マッサージ（助手席のみ）,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）",● ヒーター,"● ヒーター
● ベンチレーション
● マッサージ（助手席のみ）","● ヒーター
● ベンチレーション
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ（助手席のみ）","● ヒーター
● ベンチレーション
● マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,● 助手席,● 助手席,● 助手席,-,-,● 助手席,● 助手席,● 助手席,-,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,"● ヒーター
● ベンチレーション
● マッサージ",-,-,-,"● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション
● マッサージ",-,-,"● ヒーター
● ベンチレーション",-,"● ヒーター
● ベンチレーション"
座椅配置,シート装備,后排小桌板,後席用小テーブル,-,-,-,●,-,-,-,-,●,-,-,-,-,-
座椅配置,シート装備,零重力座椅,ゼログラビティシート,-,● 助手席,● 助手席,● 助手席,-,-,● 助手席,● 助手席,● 助手席,-,● 助手席,● 助手席,● 助手席,● 助手席
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● /後,前 ● /後,前 ● /後 ●,前 ● /後 ●,前 ● /後,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,●,●,-,●,●,●,●,-,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,● Pioneer（パイオニア）,● Pioneer（パイオニア）,-,-,-,● Pioneer（パイオニア）,● Pioneer（パイオニア）,-,-,● Pioneer（パイオニア）,-,● Pioneer（パイオニア）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 18スピーカー,● 18スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 14スピーカー,● 18スピーカー,● 6スピーカー,● 6スピーカー,● 14スピーカー,● 6スピーカー,● 14スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 256色,● 256色,-,-,-,-,● 256色,-,-,● 256色,-,● 256色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
特色配置,特徴装備,遥控代客泊车系统,リモートバレーパーキングシステム,-,-,-,-,-,-,-,-,-,-,-,-,-,-
特色配置,特徴装備,原生车载微信,純正車載WeChat,-,-,-,-,-,-,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
